Country name,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank
Australia,North America and ANZ,7.09460020065308,50063.56,0.933870434761047,71.0499420166016,0.890199601650238,0.19756107032299,0.495915740728378,10.36,15.72,5.11,43.03,80.36,34.4
Canada,North America and ANZ,6.96070003509522,47698.51,0.92879331111908,71.4000396728516,0.874468147754669,0.152546510100365,0.420211404561996,8.81,13.73,4.01,41.89,78.88,33.3
Ireland,Western Europe,6.91079998016357,101454.11,0.905368447303772,71.2999572753906,0.874381065368652,0.0916595235466957,0.357952237129211,12.75,19.38,6.34,45.51,80.04,31.4
United States,North America and ANZ,6.89370012283325,62833.85,0.919162154197693,65.8502502441406,0.800488114356995,0.136504903435707,0.688594698905945,9.97,15.44,4.69,47.81,73.26,41.4
Germany,Western Europe,6.89179992675781,53029.82,0.895954787731171,71.2998352050781,0.845851480960846,0.0300377290695906,0.419564127922058,12.79,19.71,6.15,35.79,81.41,31.9
Belgium,Western Europe,6.85909986495972,51204.72,0.914870977401733,70.8990859985352,0.82522851228714,0.0014193850802257,0.548573434352875,10.8,16.7,5.13,44.58,80.6,27.2
Czechia,Central and Eastern Europe,6.8452000617981,40579.57,0.952577948570252,69.0497436523438,0.90251487493515,0.039763081818819,0.858949184417725,,,,25.52,79.49,25.0
United Kingdom,Western Europe,6.79559993743897,44544.53,0.882204711437225,70.3000030517578,0.85219156742096,0.253307521343231,0.454079747200012,11.45,17.74,5.4,46.07,78.31,35.1
Lithuania,Central and Eastern Europe,6.76300001144409,38864.58,0.939346611499786,67.3969955444336,0.747852027416229,-0.145212829113007,0.805086731910706,12.78,20.6,6.3,33.42,74.43,35.7
France,Western Europe,6.66130018234253,44388.47,0.908803761005402,72.3000564575195,0.818730354309082,-0.100289851427078,0.552618503570557,12.23,19.21,5.83,51.99,80.46,32.4
Slovenia,Central and Eastern Europe,6.64989995956421,39667.65,0.950524747371674,71.0518493652344,0.913280487060547,0.0144006377086043,0.771246016025543,12.11,18.68,5.67,22.28,79.88,24.6
Costa Rica,Latin America and Caribbean,6.6085000038147,20985.07,0.871637940406799,70.0,0.895020961761475,-0.0698049068450928,0.767810046672821,4.07,6.49,1.68,54.22,79.09,48.2
Romania,Central and Eastern Europe,6.5890998840332,30916.8,0.847961902618408,67.0508575439453,0.855814576148987,-0.171748369932175,0.929089426994324,12.34,19.5,5.68,28.3,73.02,35.8
Singapore,Southeast Asia,6.58669996261597,106032.18,0.877539694309235,73.8000030517578,0.8776695728302,0.0627389848232269,0.146112382411957,2.0,2.92,0.99,27.96,86.89,
United Arab Emirates,Middle East and North Africa,6.57119989395142,69228.92,0.825512707233429,66.2431564331055,0.941783547401428,0.0956914871931076,0.583792865276337,3.85,4.97,0.87,15.23,78.38,26.0
Taiwan Province of China,East Asia,6.53539991378784,48896.43,0.88442462682724,69.5999984741211,0.803920984268189,-0.128957808017731,0.680981755256653,,,,15.46,83.37,
