Country,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank,Happiness score
Colombia,Latin America and Caribbean,5.630400181,14536.67,0.821668983,69.34968567,0.804261684,-0.104314588,0.833546519,5.45,8.84,2.27,56.87,77.78,51.3,6.004
Costa Rica,Latin America and Caribbean,6.608500004,20985.07,0.87163794,70,0.895020962,-0.069804907,0.767810047,4.07,6.49,1.68,54.22,79.09,48.2,7.274
Dominican Republic,Latin America and Caribbean,5.568900108,18225.77,0.82706362,64.39896393,0.850022793,-0.0987942,0.656794727,6.68,10.62,2.8,61.02,70.64,41.9,5.846
Ecuador,Latin America and Caribbean,5.558899879,10616.99,0.805753648,69.00022125,0.802229524,-0.107672855,0.832565784,3.27,5.01,1.56,55.23,71.8,45.7,5.965
El Salvador,Latin America and Caribbean,6.121600151,8858.35,0.754742801,65.5969162,0.917532086,-0.107904956,0.619613469,4.09,6.91,1.75,67.79,69.35,38.8,6.492
Guatemala,Latin America and Caribbean,6.150300026,9097.08,0.811733902,62.90000153,0.855967522,-0.057260394,0.836575747,1.63,2.63,0.69,58.67,68.33,48.3,6.362
Honduras,Latin America and Caribbean,6.022500038,5626.45,0.765569389,64.06301117,0.842606485,0.097352162,0.842901051,3.93,6.34,1.57,74.54,69.1,48.2,5.964
Jamaica,Latin America and Caribbean,5.702700138,9552.91,0.867314041,66.59999847,0.822379053,-0.106256932,0.875067234,4.16,6.71,1.69,67.42,73.83,45.5,5.87
Mexico,Latin America and Caribbean,6.329500198,18950.81,0.804008067,65.80000305,0.856223643,-0.093560472,0.76835072,5.05,8.13,2.18,54.19,73.09,45.4,6.979
Nicaragua,Latin America and Caribbean,6.25880003,5528.59,0.852812231,65.64956665,0.877430201,0.020930536,0.625008941,5.07,8.31,2.02,47.89,72.1,46.2,6.33
